presence_of_dyslexia,file_path,text
0,../data/normal_handwriting_images/normal_sample_001.jpg,"My best friend, Violet, has a navy pet hedgehog. Violet likes to take a trip to the shopping mall."
0,../data/normal_handwriting_images/normal_sample_002.jpg,"My best friend, Kevin, has a silver pet parrot. Kevin likes to go to the forest."
0,../data/normal_handwriting_images/normal_sample_003.jpg,"My best friend, George, has a navy pet fish. George likes to take a trip to the swimming pool."
0,../data/normal_handwriting_images/normal_sample_004.jpg,"My best friend, Mia, has a gold pet budgie. Mia likes to visit the cafe."
0,../data/normal_handwriting_images/normal_sample_005.jpg,"My best friend, Laura, has a yellow pet hamster. Laura likes to play at the art gallery."
0,../data/normal_handwriting_images/normal_sample_006.jpg,"My best friend, Sophia, has a black pet dog. Sophia likes to visit the gym."
0,../data/normal_handwriting_images/normal_sample_007.jpg,"My best friend, Diana, has a pink pet ferret. Diana likes to go to the stadium."
0,../data/normal_handwriting_images/normal_sample_008.jpg,"My best friend, Oliver, has a white pet hedgehog. Oliver likes to take a trip to the library."
0,../data/normal_handwriting_images/normal_sample_009.jpg,"My best friend, Mia, has a maroon pet hedgehog. Mia likes to play at the stadium."
0,../data/normal_handwriting_images/normal_sample_010.jpg,"My best friend, Abigail, has a teal pet ferret. Abigail likes to go to the stadium."
0,../data/normal_handwriting_images/normal_sample_011.jpg,"My best friend, Olivia, has a beige pet rat. Olivia likes to visit the cafe."
0,../data/normal_handwriting_images/normal_sample_012.jpg,"My best friend, George, has a green pet snake. George likes to play at the museum."
0,../data/normal_handwriting_images/normal_sample_013.jpg,"My best friend, Nora, has a white pet snake. Nora likes to take a trip to the museum."
0,../data/normal_handwriting_images/normal_sample_014.jpg,"My best friend, Laura, has a purple pet ferret. Laura likes to go to the mountains."
0,../data/normal_handwriting_images/normal_sample_015.jpg,"My best friend, George, has a blue pet budgie. George likes to visit the mountains."
0,../data/normal_handwriting_images/normal_sample_016.jpg,"My best friend, Mia, has a green pet guinea pig. Mia likes to play at the mountains."
0,../data/normal_handwriting_images/normal_sample_017.jpg,"My best friend, Rachel, has a indigo pet canary. Rachel likes to play at the cinema."
0,../data/normal_handwriting_images/normal_sample_018.jpg,"My best friend, Diana, has a pink pet axolotl. Diana likes to take a trip to the lake."
0,../data/normal_handwriting_images/normal_sample_019.jpg,"My best friend, Mia, has a grey pet axolotl. Mia likes to take a trip to the river."
0,../data/normal_handwriting_images/normal_sample_020.jpg,"My best friend, Emily, has a silver pet gecko. Emily likes to play at the bookstore."
0,../data/normal_handwriting_images/normal_sample_021.jpg,"My best friend, Tina, has a maroon pet chinchilla. Tina likes to take a trip to the mountains."
