presence_of_dyslexia,file_path,text
0,../data_dysgraphia/normal_handwriting_images/normal_sample_001.jpg,"My best friend, Florence, has a purple pet turtle. Florence likes to go to the cafe."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_002.jpg,"My best friend, Noah, has a blue pet cat. Noah likes to play at the art gallery."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_003.jpg,"My best friend, Charlie, has a white pet parrot. Charlie likes to visit the playground."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_004.jpg,"My best friend, William, has a silver pet ferret. William likes to visit the playground."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_005.jpg,"My best friend, Charlie, has a turquoise pet snake. Charlie likes to play at the river."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_006.jpg,"My best friend, Rachel, has a silver pet fish. Rachel likes to go to the bookstore."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_007.jpg,"My best friend, Harper, has a blue pet rabbit. Harper likes to play at the bookstore."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_008.jpg,"My best friend, Tina, has a orange pet cat. Tina likes to play at the shopping mall."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_009.jpg,"My best friend, Sam, has a silver pet cat. Sam likes to visit the swimming pool."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_010.jpg,"My best friend, Laura, has a yellow pet snake. Laura likes to go to the restaurant."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_011.jpg,"My best friend, Rachel, has a blue pet rat. Rachel likes to play at the beach."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_012.jpg,"My best friend, Riley, has a purple pet hedgehog. Riley likes to take a trip to the museum."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_013.jpg,"My best friend, Lucas, has a beige pet canary. Lucas likes to visit the restaurant."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_014.jpg,"My best friend, Zack, has a black pet hedgehog. Zack likes to visit the river."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_015.jpg,"My best friend, Jackson, has a teal pet snake. Jackson likes to take a trip to the cinema."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_016.jpg,"My best friend, Umar, has a silver pet axolotl. Umar likes to take a trip to the gym."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_017.jpg,"My best friend, Bob, has a teal pet lizard. Bob likes to take a trip to the stadium."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_018.jpg,"My best friend, Scarlett, has a teal pet cat. Scarlett likes to go to the mountains."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_019.jpg,"My best friend, Luca, has a maroon pet budgie. Luca likes to visit the library."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_020.jpg,"My best friend, Diana, has a yellow pet hamster. Diana likes to play at the stadium."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_021.jpg,"My best friend, Mia, has a maroon pet hamster. Mia likes to go to the museum."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_022.jpg,"My best friend, Emily, has a grey pet rat. Emily likes to take a trip to the forest."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_023.jpg,"My best friend, Evelyn, has a teal pet rabbit. Evelyn likes to take a trip to the lake."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_024.jpg,"My best friend, Bob, has a turquoise pet rabbit. Bob likes to take a trip to the mountains."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_025.jpg,"My best friend, Laura, has a pink pet snake. Laura likes to visit the swimming pool."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_026.jpg,"My best friend, Diana, has a brown pet canary. Diana likes to visit the museum."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_027.jpg,"My best friend, Lucas, has a beige pet cat. Lucas likes to play at the swimming pool."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_028.jpg,"My best friend, Laura, has a blue pet budgie. Laura likes to visit the art gallery."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_029.jpg,"My best friend, Michael, has a indigo pet budgie. Michael likes to take a trip to the cafe."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_030.jpg,"My best friend, Ava, has a lavender pet canary. Ava likes to go to the lake."
0,../data_dysgraphia/normal_handwriting_images/normal_sample_031.jpg,"My best friend, Nora, has a pink pet snake. Nora likes to take a trip to the river."
